排名（Top20）,機構名稱,類別,優先等級,電話,Email,官網,地址,決策窗口,統一編號,備註,草稿狀態
1,翰林出版（試務中心）,出版商,最高優先,(06)2631-188 / 北區(02)3234-4718 / 高屏(07)397-2288,exam@ms7.hanlin.com.tw（請優先透過試務官網確認）,https://examsh.hanlin.com.tw/,總部：臺南市南區新樂路76號；北區：新北市中和區建一路136號8樓,試務中心主任、英文科編輯主管,69382361,全國模考參加人數第一；代表人陳彥良；資本額NT$5.6億；旗下TestGo平台(service@testgo.com.tw)已廣泛進入高中校園,草稿已儲存
2,南一書局（評鑑測驗中心）,出版商,最高優先,(02)2662-2200,,https://etshs.mietc.tw/,新北市深坑區北深路三段268號8樓,評鑑測驗中心主任、英文科編輯主管,68461979,全國模考第二；2025年品牌重整為「南一教育集團」；總機(06)2615-191；傳真(02)2664-8876,自行聯繫
6,龍騰文化,出版商,高優先,(02)2298-2933,ms.right@ltedu.com.tw / support@ltedu.com.tw,https://www.ltedu.com.tw/,新北市五股區五工六路30號,英文科編輯部主管、產品企劃部,23593217,三大高中教科書出版商之一；有線上題測系統 eo2.ltedu.com.tw；代表人李彥熹；資本額NT$1.1億,草稿已儲存
8,三民書局,出版商,高優先,(02)2500-6600,ec@sanmin.com.tw / english@sanmin.com.tw,https://www.sanmin.com.tw/,臺北市中正區重慶南路1段59號,英文科編輯部主管、數位學習部門,4249876,"已與Linggle AI合作推出英文作文AI批改；有elearning.sanmin.com.tw平台；代表人劉仲傑；資本額NT$4,500萬",草稿已儲存
10,晟景數位文化,出版商,補充優先,(07)722-5883 分機801,service@visionbook.com.tw,https://www.visionbook.com.tw/,高雄市苓雅區凱旋二路170號,英文科主編,,專精學測/分科測驗題本；英文作文模擬題重要出版商,草稿已儲存
,康軒文教集團,出版商,補充優先,(02)2918-9393,（透過官網聯絡表單）,https://www.knsh.com.tw/,新北市新店區中興路二段218巷11號,評量中心主管,23142092,"主要服務國中小；高中端持續擴充；旗下有康軒評量中心(exam.knsh.com.tw, 分機752)、康軒雲、出題高手；代表人李萬吉；資本額NT$8.5億",透過官網表單（視窗已備妥）
3,飛哥英文,補教,最高優先,(02)2383-1235,faigo@faigo.com.tw,https://faigo.com.tw,台北市中正區衡陽路51號4樓,飛哥老師（創辦人）、班主任,,台灣高中英文補教第一品牌；每週大量作文批改；曾預測學測作文題目,草稿已儲存
4,陳立教育集團,補教,最高優先,(02)2331-3875（教務）,srv@chenliedu.com,https://www.chenliedu.com/,台北市中正區許昌街17號15樓,教學長、英文科主管,53109922,"全台最大連鎖（12+據點）；1978年創立；員工約4,000人；有自有APP和數位學院",草稿已儲存
5,李奇英文,補教,最高優先,待確認,richiele@ms23.hinet.net,https://richieenglishnew.com/,台北、桃園、新竹、台中（4城市）,李奇老師（創辦人）,,正快速展店；強調作文寫作產出，批改需求極高,草稿已儲存
7,張維英文,補教,高優先,待確認,（透過Facebook/LINE聯繫）,,台北、板橋、天母、台中、台南（5據點）,張維老師（創辦人）,,快速成長品牌；每週2篇作文為核心訓練,透過Facebook訊息（視窗已備妥）
9,文城教育學院,補教,高優先,(02)2369-1090（古亭）/ (02)2371-8280（北車）,（透過官網聯繫）,https://wmch1969.com/,台北市中正區和平西路一段20號3樓（古亭）,班主任、教學部主管,,1969年創立，台灣第一全科總複習班；8據點；有自建APP；服務時間週一至週五9:30–21:30,透過Facebook訊息（視窗已備妥）
12,劉毅英文,補教,高優先,(02)2389-5212,leservice.tw@gmail.com,https://www.leschool.com.tw/,台北市中正區許昌街17號6樓,劉毅老師（創辦人，仍活躍）,,50+年歷史品牌,草稿已儲存
11,江浩英文,補教,中優先,待確認,（透過社群聯繫）,,高雄（3據點）、屏東、台南、嘉義,江浩老師（創辦人）,,南台灣英文補教領導品牌；創辦人史丹佛碩士,透過Facebook訊息（視窗已備妥）
15,得勝者文教,補教,中優先,待確認,endingcourt99@gmail.com,,台北、桃園、台中、宜蘭,劉駿豪（創辦人）,,平台模式，與獨立英文名師合作；FOLIO可作為其工具整合,草稿已儲存
,Englist,補教,補充,(02)2736-6829,info@englist.com,https://englist.com/,台北市大安區安和路一段137號4樓,,,高端英文學術寫作補習班；與Crimson Education合作海外升學；少人數精英制；對AI評分報告潛在興趣高,草稿已儲存
,何嘉仁 (Hess),補教,較低優先,(02)2592-6998,hessweb@hess.com.tw,https://esl.hess.com.tw/,,,,兒童美語為主，高中學測相關性低,草稿已儲存
,佳音英語,補教,較低優先,0800-000-091,service@joy.com.tw,https://je.joy.com.tw/,,,,兒童美語為主,草稿已儲存
,巨匠美語,補教,較低優先,(02)2557-6707,ehelp@pcschool.com.tw,https://www.soeasyedu.com.tw/,,,,成人英語，與學測無關,草稿已儲存
,TestGo（翰林教育科技）,考試服務,高優先,(02)3234-4718 分機227,service@testgo.com.tw,https://www.testgo.com.tw/,新北市中和區建一路136號8樓,,,翰林旗下教育科技平台；線上評量/學力檢測/成績分析；已廣泛進入高中校園；具備對接AI非選題批改潛力,草稿已儲存
,LTTC 語言訓練測驗中心（GEPT）,考試服務,高優先,(02)2369-7127,gept@lttc.ntu.edu.tw,https://www.lttc.ntu.edu.tw/,,,,台大附設；主管GEPT全民英檢；每年報考逾百萬人次；寫作由人工批改；具導入AI輔助批改高度誘因；課程信箱tra@lttc.ntu.edu.tw；傳真(02)2364-6367,草稿已儲存
,大考中心,考試服務,參考,(02)2366-1416,（透過官網聯繫）,https://www.ceec.edu.tw/,臺北市大安區舟山路237號,閱卷組,,潛在認證合作對象；閱卷組傳真02-2366-1149,電話聯繫：(02)2366-1416 研究發展處
,文昌教育文化,考試服務,參考,(04)2238-1161,,,臺中市北區忠明路424號12樓之3,陳玉明（代表人）,60254626,,無網路聯絡方式
,品科技,考試服務,參考,(04)2277-0046,service@pintech.com.tw,https://www.pintech.com.tw/,臺中市太平區永和街75號1樓,,85058869,開發文昌閱卷系統；翰林/康軒模考閱卷託管於 summit-edu.com.tw 值得調查,草稿已儲存
,常春藤解析英語（IVY English 賴世雄）,補教,高優先,(02)2911-1337,service@peterlai.com.tw,https://www.peterlai.com.tw/,新北市新店區北新路一段291號6樓,賴世雄（創辦人）/ 課程部門主管,,常春藤解析英語雜誌品牌；全台分校加盟體系；e學院線上課程；以高中英文閱讀/翻譯/寫作教學聞名；學生每週有大量寫作練習需批改,草稿已儲存
,菁英國際語言教育中心,補教,高優先,(02)2388-7005 / 0800-090-800,cindy_chen@language-center.com.tw,https://www.language-center.com.tw/,臺北市中正區漢口街1段45號7樓,教務部主管,97459312,全台直營9校（台北4所、板橋、桃園2所、新竹、高雄）；提供多益/托福/雅思/全民英檢課程；各校皆有英文寫作班,草稿已儲存
,美加文教機構,補教,中優先,(02)2381-1166,marketing@merica.com.tw,https://www.merica.com.tw/,台北市中正區館前路28號8樓之3,課程部主管,84446929,台灣首間留學考試補習班；50年歷史；主攻托福/雅思/SAT/GRE；留學申請代辦；寫作指導為核心課程,草稿已儲存
,希平方 HopeEnglish,補教（線上）,補充,(02)2727-1778,service@hopenglish.com,https://www.hopenglish.com/,台北市信義區忠孝東路五段510號7樓,課程/產品部門主管,24746401,線上英文學習數位平台；有高中英文課程；「攻其不背」系列廣受學生喜愛；有英文寫作教材需求,草稿已儲存
,空中英語教室（Studio Classroom）,出版,補充,(02)2533-9123,Service@StudioClassroom.com,https://www.studioclassroom.com/,,出版/數位課程部門主管,,台灣最大英語雜誌媒體集團（空中英語教室/大家說英語/彭蒙惠英語）；旗下有Workshop線上教師社群；課程已轉型數位化,草稿已儲存
,字神帝國英語學院,補教,補充,(02)6617-8600,wordgod@wordgod.com,https://www.wordgod.com.tw/,台北市中正區許昌街17號13樓,創辦人 / 教務主管,,高端精緻小班英文補習班；托福/雅思/SAT；學術英文寫作為核心強項；LINE: @wordgod；另有南陽校區(02)6617-9225,草稿已儲存
,TutorABC（麥奇數位股份有限公司）,補教（線上）,補充,(02)2367-7999,global_services@tutorabc.com,https://www.tutorabc.com/,臺北市中正區和平西路1段3號2樓之1,業務/B2B部門主管,80730676,全球線上語言學習平台；旗下TutorJr服務青少年英文；全球學習者逾百萬；具導入AI寫作批改高度潛力；代表人楊順銓,草稿已儲存
